NAME	elevation	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	"fast = neg %, slow = pos %"																
LOUISIANA	100	100.0	100.0	100.0	100.0	8.5	100.0	12.7	100.0	-15.3	-13.9	-17.2	-8.5	-12.3	-11.4	-10.7	-13.9	-15.8	1101.485772	1105.053815	1108	1085.318563	1125.49397	1119.973051	1202.143111	1214.067143	1143.296	1092.9885	1091.2059	1078.409082	1068.1406	1082.5203	1078.719	1065.4978	1070.826122
MAINE	600	-1.8	-2.4	-8.1	-7.0	-8.6	-9.2	-9.7	-9.9	-13.4	-7.8	-8.4	-9.4	-9.2	-7.3	-7.7	-8.4	-7.6	1172.876127	1145.674799	1165.551324	1191.5781	1226.075598	1204.2881	1257.523298	1157.6321	1105.4473	1102.31	1091.2723	1083.794	1087.132168	1087.61998	1090.9023	1078.827473	1083.699
MARYLAND	350	100.0	12.4	-7.2	12.9	12.8	9.1	13.6	6.8	-12.8	0.8	2.6	2.2	2.4	2.0	1.8	2.9	3.6					1047		998		1290.254795	1274.098618	1302.66862	1201.729592	1241.67313	1230.628283	1223.458161	1254.607692	1280.71194
MASSACHUSETTS	500	8.3	10.7	9.2	10.3	-5.0	-2.1	0.6	0.5	-1.3	4.5	4.5	4.7	5.2	5.9	5.1	5.7	5.1	1127.853512	1151.154179	1220.561649	1210.191454	1242.812333	1242.488434	1254.067706	1245.915928	1268.591795	1206.3944	1205.3214	1212.2163	1206.696204	1185.0587	1190.291	1194.4556	1189.5131
MICHIGAN	900	5.4	4.8	5.3	7.2	5.9	7.6	8.0	6.9	6.3	8.1	8.7	6.9	9.0	8.4	8.5	8.7	8.7		984.6666667	1210.7	985.6666667	998.0166667	1034	988.01875	1056.868627	1261.425692	1109.7624	1083.1487	1083.668	1078.2367	1082.7452	1085.7106	1070.112176	1065.497003
MINNESOTA	1200	4.5	5.7	4.4	8.8	6.5	7.9	8.8	7.6	1.4	5.5	6.3	6.6	6.3	6.1	6.2	5.6	6.3	1016.327059	1004.11875	1025.46	1014.827778	1201.408737	1162.246976	1136.55519	1128.3377	1133.067832	1068.6492	1061.1957	1055.525797	1047.33493	1039.3928	1048.4327	1039.0132	1049.56
MISSISSIPPI	300	-13.9	-18.1	-19.4	-11.6	-11.6	-18.6	-12.8	100.0	-14.3	-11.3	-9.3	-8.8	-9.5	-9.3	-7.1	-6.6	-7.3	1048.39545	1070.583574	1069.226693	1049.618641	1076.323474	1051.583857	1051.928586	1055.504654	1048.1496	1028.0549	1014.8872	1030.9672	1005.981854	1012.3245	1011.321079	1005.7347	1009.1627
MISSOURI	800	14.9	100.0	13.9	9.6	5.6	0.2	2.6	1.9	4.2	4.4	4.9	5.0	4.8	4.7	4.5	4.5	5.0	1058.26	1059.759696	1079.438361	1031.544118	1069.592484	1048.19736	1043.024281	1047.135179	1102.752336	1057.405395	1041.919381	1034.8305	1035.215285	1037.3745	1036.987836	1039.576248	1035.8069
MONTANA	3400	16.6	16.1	100.0	100.0	100.0	100.0	100.0	100.0	100.0	-6.6	2.0	-8.7	-12.4	-15.1	-12.0	-13.1	-15.0	1262.497363	1328.140329	1348.598684	1262.744789	1277.042254	1349.176093	1289.912811		1278.155	1245.9365	1215.3828	1204.9606	1210.353	1207.2693	1183.6581	1174.4603	1185.8391
NEBRASKA	2600	-0.7	0.4	-0.1	2.5	5.9	2.8	3.4	3.4	1.0	-4.6	0.4	-2.9	-5.3	-3.1	-1.4	-0.9	0.7	943.1		971.7666667	1022.9	1079.560241	1136.07035	1113.076868	1112.6246	1071.244	1069.744855	1057.5143	1052.98503	1052.073857	1052.8837	1055.687712	1051.6857	1049.9209
NEVADA	5500	-6.0	-8.5	-6.4	-7.5	-3.2	-6.4	-5.3	-3.9	-5.5	-11.9	-9.3	-12.2	-13.7	-13.9	-10.4	-8.4	-9.3	924.5	943.6								1193.307752	1089.64	1204.720082	1241.776527	1271.245313	1237.867749	1246.304242	1271.896398
NEW_HAMPSHIRE	1000	0.9	3.4	3.7	3.3	4.9	7.7	9.3	7.5	-8.0	-10.6	-10.6	-11.3	-12.5	-9.8	-9.1	-7.2	-6.4	1115.423032	1119.7625	1130.38026	1103.044262	1076.63	1106.477865	1104.353266	1094.786525	1107.24575	1170.6335	1107.150704	1139.6207	1163.5216	1138.2536	1120.7106	1111.859041	1097.9745
NEW_JERSEY	250	-4.2	-0.5	-1.8	-1.3	0.0	4.8	5.9	2.2	7.3	7.6	7.8	7.5	8.0	8.2	8.1	7.7	8.1	1174.486885	1219.637838	1201.63125	1215.813514	1180.424113	1210.76875	1203.836184	1177.858896	1179.707035	1252.628799	1214.986434	1242.558106	1257.012834	1257.594962	1220.4448	1193.7521	1208.2479
NEW_MEXICO	5700	100.0	100.0	100.0	0.7	2.8	2.8	3.2	0.0	-3.6	-7.4	-6.3	-8.7	-4.6	-2.7	-3.5	-4.7	-3.2	1097.591367	1085.65	1086.695035	1093.716547	1088.452555	1050.801389	1037.295652	1048.93625	1208.637042	1237.840899	1229.9779	1232.5698	1243.470867	1212.6912	1205.4979	1181.4538	1176.5932
NEW_YORK	1000	0.3	16.4	16.2	18.8	3.9	5.3	-5.9	2.5	6.3	8.1	7.3	6.7	8.2	8.3	7.7	7.4	8.2	1154.406731	1129.350203	1148.9282	1145.6677	1143.805794	1082.8303	1076.075773	1109.274525	1037.494505	1034.138209	1024.893731	1024.5475	1016.957669	1014.073486	1015.2853	1017.2548	1015.8055
NORTH_CAROLINA	700	1.1	2.5	0.2	-2.1	0.0	-0.8	1.1	-5.7	4.3	5.7	6.1	5.7	5.5	6.5	6.4	5.7	5.3				1122.980831	1111.996	1106.329545	1106.873966	1134.139184	1158.477564	1201.759874	1181.53036	1204.253867	1156.1614	1134.717864	1143.4154	1152.8998	1141.2558
NORTH_DAKOTA	1900	100.0	100.0	-4.4	2.9	-4.3	-6.0	-3.0	-2.6	-8.5	-5.2	-7.9	-8.6	-9.6	-9.8	-9.8	-10.4	-8.5	1104.614213	940.35	945.9	918.5	1099.513488	1077.8314	1210.277496	1105.069	1048.3707	1028.1526	1030.1316	1033.8344	1014.4487	1012.547752	1020.336056	1019.8647	1015.1528
OHIO	850	7.3	8.0	7.7	6.8	7.6	7.3	9.2	-4.0	9.4	9.3	9.4	8.4	9.2	8.9	9.1	9.4	9.4	1095.905011	1096.163588	1126.509827	1154.681317	1143.507718	1147.090251	1130.972965	1198.092555	1070.1859	1055.8519	1043.880299	1045.1586	1044.666034	1032.6536	1034.187649	1038.8918	1046.6459
OKLAHOMA	1300	100.0	-10.2	-1.5	0.5	-2.5	-4.6	-3.1	-1.7	-1.6	-4.7	-5.4	-3.2	-1.3	-3.0	-2.0	0.4	-0.7			1178.599379	1098.1365	1193.635241	1206.364013	1177.727273	1163.507353	1213.575953	1177.218632	1199.474948	1203.515091	1211.143828	1212.566667	1213.827192	1215.995294	1198.995646
